Verslóritgerðir	Verslóritgerð	nvfn-s
lagafrumvarpi	lagafrumvarp	nheþ
brautargengi	brautargengi	nheo
og	og	c
það	það	fphen
varð	verða	sfg3eþ
að	að	af
lögum	lag	nhfþ
nr.	nr.	ks
94/1962	94/1962	ta
.	.	pl

Hvatinn	hvati	nkeng
að	að	af
setningu	setning	nveþ
hinna	hinn	ghfe
nýja	nýr	x
laga	lag	nhfe
var	vera	sfg3eþ
kalda	kaldur	lhenvf
stríðið	stríð	nheng
sem	sem	ct
þá	þá	aa
geisaði	geisa	sfg3eþ
milli	milli	af
stórveldanna	stórveldi	nhfeg
Bandaríkja	Bandaríki	nhfe-s
Norður-Ameríku	Norður-Ameríka	nvee-s
og	og	c
Sovétríkjanna	Sovétríkin	nhfegs
og	og	c
óróleiki	óróleiki	nken
í	í	af
heimsmálum	heimsmál	nhfþ
ásamt	ásamt	af
hugsanlegri	hugsanlegur	lveþsf
ógn	ógn	nveþ
sem	sem	ct
stafaði	stafa	sfg3eþ
af	af	af
kjarnorkustyrjöld	kjarnorkustyrjöld	nveþ
og	og	c
nauðsynlegar	nauðsynlegur	lvfnsf
ráðstafanir	ráðstöfun	nvfn
til	til	af
að	að	cn
mæta	mæta	sng
þessum	þessi	favfþ
aðstæðum	aðstæður	nvfþ
.	.	pl

Tveir	tveir	tfkfn
erlendir	erlendur	lkfnsf
ráðgjafar	ráðgjafi	nkfn
voru	vera	sfg3fþ
fengnir	fá	sþgkfn
til	til	af
aðstoðar	aðstoð	nvee
,	,	pk
norskur	norskur	lkensf
hershöfðingi	hershöfðingi	nken
,	,	pk
sem	sem	ct
einnig	einnig	aa
var	vera	sfg3eþ
yfirmaður	yfirmaður	nken
norsku	norskur	lvfevf
almannavarnanna	almannavarnir	nvfeg
og	og	c
yfirlæknir	yfirlæknir	nken
danska	danskur	lheevf
heilbrigðiskerfisins	heilbrigðiskerfi	nheeg
.	.	pl

Lítið	lítið	aa
var	vera	sfg3eþ
fjallað	fjalla	sþghen
um	um	af
náttúruhamfarir	náttúruhamfarir	nvfo
í	í	af
lögunum	lag	nhfþg
og	og	c
hvernig	hvernig	aa
yrði	verða	svg3eþ
tekið	taka	sþghen
á	á	af
afleiðingum	afleiðing	nvfþ
þeirra	hún	fpvfe
.	.	pl

Almannavarnir	almannavarnir	nvfn
áttu	eiga	sfg3fþ
þó	þó	aa
að	að	cn
veita	veita	sng
aðstoð	aðstoð	nveo
samkvæmt	samkvæmt	af
fyrirmælum	fyrirmæli	nhfþ
dómsmálaráðherra	dómsmálaráðherra	nkee
vegna	vegna	af
tjóns	tjón	nhee
af	af	af
völdum	vald	nhfþ
náttúruhamfara	náttúruhamfarir	nvfe
.	.	pl

2.1.1.	2.1.1.	ta

Forsaga	forsaga	nven
laga	lag	nhfe
um	um	af
almannavarnir	almannavarnir	nvfo
á	á	af
Íslandi	Ísland	nheþ-s
Þegar	þegar	c
skyggnst	skyggna	sþmhen
er	vera	sfg3en
í	í	af
greinargerð	greinargerð	nveo
með	með	af
frumvarpinu	frumvarp	nheþg
sem	sem	ct
varð	verða	sfg3eþ
að	að	af
lögum	lag	nhfþ
um	um	af
almannavarnir	almannavarnir	nvfo
og	og	c
umræður	umræða	nvfo
á	á	af
Alþingi	Alþingi	nheþ-s
við	við	af
afgreiðslu	afgreiðsla	nveo
þeirra	það	fphfe
kemur	koma	sfg3en
í	í	af
ljós	ljós	nheo
að	að	c
umræðan	umræða	nveng
snerist	snúa	sfm3eþ
fyrst	fyrr	aae
og	og	c
fremst	fremur	aae
um	um	af
viðbrögð	viðbragð	nhfo
við	við	af
hugsanlegri	hugsanlegur	lveþsf
kjarnorkuvá	kjarnorkuvá	nveþ
af	af	af
völdum	vald	nhfþ
stríðs	stríð	nhee
með	með	af
kjarnorkusprengjum	kjarnorkusprengja	nvfþ
sem	sem	ct
þá	þá	aa
voru	vera	sfg3fþ
í	í	af
eigu	eiga	nveþ
áður	áður	aa
nefndra	nefndur	lhfesf
stórvelda	stórveldi	nhfe
.	.	pl

Í	í	af
umræðum	umræða	nvfþ
á	á	af
Alþingi	Alþingi	nheþ-s
um	um	af
frumvarpið	frumvarp	nheog
kom	koma	sfg3eþ
meðal	meðal	af
annars	annar	fohee
fram	fram	aa
sú	sá	faven
skoðun	skoðun	nven
Jóns	Jón	nkee-s
Kjartanssonar	Kjartansson	nkee-s
,	,	pk
alþingismanns	alþingismaður	nkee
,	,	pk
að	að	cn
nota	nota	sng
mætti	mega	svg3eþ
lögin	lag	nhfog
og	og	c
þá	sá	faveo
aðferðafræði	aðferðafræði	nveo
sem	sem	ct
þar	þar	aa
kæmi	koma	svg3eþ
fram	fram	aa
til	til	af
að	að	cn
bregðast	bregða	snm
við	við	af
náttúruhamförum	náttúruhamfarir	nvfþ
.	.	pl

Jón	Jón	nken-s
var	vera	sfg3eþ
sá	sá	faken
eini	einn	lkenvf
sem	sem	ct
hafði	hafa	sfg3eþ
orð	orð	nheo
á	á	af
því	það	fpheþ
við	við	af
afgreiðslu	afgreiðsla	nveo
frumvarpsins	frumvarp	nheeg
.	.	pl

Að	að	af
öðru	annar	foheþ
leyti	leyti	nheþ
var	vera	sfg3eþ
það	það	fphen
afgreitt	afgreiða	sþghen
eins	eins	aa
og	og	c
það	það	fphen
komst	koma	sfm3eþ
á	á	af
dagskrá	dagskrá	nveo
Alþingis	Alþingi	nhee-s
,	,	pk
sem	sem	ct
lög	lag	nhfn
er	er	ct
gagnast	gagna	snm
skyldu	skulu	svg3fþ
gegn	gegn	af
hugsanlegri	hugsanlegur	lveþsf
hernaðarógn	hernaðarógn	nveþ
.	.	pl

Næst	nærri	aae
komst	koma	sfm3eþ
málið	mál	nheng
á	á	af
dagskrá	dagskrá	nveo
vorið	vor	nheog
1966	1966	ta
.	.	pl

Alþingismenn	Alþingismaður	nkfn-s
lögðu	leggja	sfg3fþ
fram	fram	aa
þingsályktunartillögu	þingsályktunartillaga	nveo
.	.	pl

Ætlun	ætlun	nven
þeirra	hann	fpkfe
var	vera	sfg3eþ
að	að	cn
fá	fá	sng
inn	inn	aa
ákvæði	ákvæði	nhfo
er	er	ct
sneru	snúa	svg3fþ
að	að	af
náttúrhamförum	náttúrhamfarir	nvfþ
og	og	c
hættu	hætta	nveþ
af	af	af
þeirra	hún	fpvfe
völdum	vald	nhfþ
.	.	pl

Tillaga	tillaga	nven
til	til	af
þingsályktunar	þingsályktun	nvee
var	vera	sfg3eþ
ekki	ekki	aa
afgreidd	afgreiða	sþgven
.	.	pl

En	en	c
dómsmálaráðherra	dómsmálaráðherra	nken
tók	taka	sfg3eþ
málið	mál	nheog
á	á	af
dagskrá	dagskrá	nveo
og	og	c
lögin	lag	nhfng
voru	vera	sfg3fþ
tekin	taka	sþghfn
til	til	af
endurskoðunar	endurskoðun	nvee
og	og	c
hlutu	hljóta	sfg3fþ
samþykki	samþykki	nheo
1967	1967	ta
.	.	pl

Þá	þá	aa
komust	koma	sfm3fþ
í	í	af
lög	lag	nhfo
ákvæði	ákvæði	nhfn
um	um	af
viðbrögð	viðbragð	nhfo
við	við	af
öðrum	annar	fovfþ
náttúruhamförum	náttúruhamfarir	nvfþ
,	,	pk
sérstaklega	sérstaklega	aa
jarðskjálftum	jarðskjálfti	nkfþ
,	,	pk
eldgosum	eldgos	nhfþ
og	og	c
hafís	hafís	nkeþ
.	.	pl

Í	í	af
lögunum	lag	nhfþg
um	um	af
almannavarnir	almannavarnir	nvfo
segir	segja	sfg3en
efnislega	efnislega	aa
í	í	af
1.	1.	ta
gr.	gr.	ks
,	,	pk
að	að	c
ætlunin	ætlun	nveng
sé	vera	svg3en
að	að	cn
skipuleggja	skipuleggja	sng
og	og	c
framkvæma	framkvæma	sng
ráðstafanir	ráðstöfun	nvfo
til	til	af
að	að	cn
koma	koma	sng
í	í	af
veg	vegur	nkeo
fyrir	fyrir	aa
svo	svo	aa
sem	sem	c
mögulegt	mögulegur	lhensf
sé	vera	svg3en
að	að	c
almenningur	almenningur	nken
hljóti	hljóta	svg3en
líkamstjón	líkamstjón	nheo
sem	sem	ct
stafar	stafa	sfg3en
af	af	af
hernaðaraðgerðum	hernaðaraðgerð	nvfþ
,	,	pk
náttúruhamförum	náttúruhamfarir	nvfþ
eða	eða	c
af	af	af
annarri	annar	foveþ
vá	vá	nveþ
.	.	pl

Einnig	einnig	aa
er	vera	sfg3en
ætlunin	ætlun	nveng
að	að	cn
koma	koma	sng
í	í	af
veg	vegur	nkeo
fyrir	fyrir	af
eignatjón	eignatjón	nheo
og	og	c
líkna	líkna	sng
og	og	c
aðstoða	aðstoða	sng
vegna	vegna	af
tjóns	tjón	nhee
sé	vera	svg3en
það	það	fphen
ekki	ekki	aa
á	á	af
verksviði	verksvið	nheþ
annarra	annar	fokfe
lögum	lag	nhfþ
samkvæmt	samkvæmt	af
.	.	pl

Íslenzka	íslenskur	lvenvf
ríkisstjórnin	ríkisstjórn	nveng
hafði	hafa	sfg3eþ
gert	gera	sþghen
samkomulag	samkomulag	nheo
við	við	af
Bandaríki	Bandaríki	nhfo-s
Norður-Ameríku	Norður-Ameríka	nvee-s
árið	ár	nheog
1951	1951	ta
um	um	af
að	að	c
síðarnefnda	síðarnefndur	lhenvf
ríkið	ríki	nheng
tæki	taka	svg3eþ
að	að	af
sér	sig	fpheþ
varnir	vörn	nvfo
Íslands	Ísland	nhee-s
á	á	af
þeim	sá	fakfþ
ótryggu	ótryggur	lkfþvf
og	og	c
óvissu	óviss	lkfþvf
tímum	tími	nkfþ
sem	sem	ct
þá	þá	aa
voru	vera	sfg3fþ
framundan	framundan	aa
.	.	pl

Þar	þar	aa
kann	kunna	sfg3en
að	að	cn
vera	vera	sng
að	að	cn
finna	finna	sng
líklegustu	líklegur	lveove
skýringuna	skýring	nveog
á	á	af
því	það	fpheþ
að	að	c
málið	mál	nheng
komst	koma	sfm3eþ
ekki	ekki	aa
á	á	af
dagskrá	dagskrá	nveo
og	og	c
Alþingi	Alþingi	nhen-s
setti	setja	sfg3eþ
ekki	ekki	aa
ný	nýr	lhfosf
lög	lag	nhfo
um	um	af
almannavarnir	almannavarnir	nvfo
fyrr	fyrr	aam
.	.	pl

Áður	áður	aa
starfaði	starfa	sfg3eþ
stofnun	stofnun	nven
eða	eða	c
sérstök	sérstakur	lvensf
skrifstofa	skrifstofa	nven
undir	undir	af
heitinu	heiti	nheþg
Almannavarnir	Almannavarnir	nvfn-s
ríkisins	ríki	nheeg
með	með	af
sérstökum	sérstakur	lkeþsf
forstöðumanni	forstöðumaður	nkeþ
.	.	pl

Hver	hver	foken
lögreglustjóri	lögreglustjóri	nken
er	vera	sfg3en
ábyrgur	ábyrgur	lkensf
fyrir	fyrir	af
almannavörnum	almannavarnir	nvfþ
og	og	c
er	vera	sfg3en
stjórnandi	stjórnandi	nken
almannavarna	almannavarnir	nvfe
í	í	af
sínu	sinn	feheþ
umdæmi	umdæmi	nheþ
,	,	pk
samkvæmt	samkvæmt	af
7.	7.	ta
gr.	gr.	ks
almannavarnalaganna	almannavarnalög	nhfeg
.	.	pl

Í	í	af
því	það	fpheþ
er	vera	sfg3en
fólgið	fela	sþghen
að	að	c
sá	sá	faken
hinn	hinn	gken
sami	samur	fbken
stýrir	stýra	sfg3en
aðgerðum	aðgerð	nvfþ
og	og	c
er	vera	sfg3en
ábyrgur	ábyrgur	lkensf
fyrir	fyrir	af
því	það	fpheþ
að	að	c
gripið	grípa	sþghen
sé	vera	svg3en
til	til	af
réttra	réttur	lhfesf
viðbragða	viðbragð	nhfe
í	í	af
samræmi	samræmi	nheþ
við	við	af
aðstæður	aðstæður	nvfo
hverju	hver	foheþ
sinni	sinn	nheþ
er	er	c
þörf	þörf	nven
gerist	gera	sfm3en
.	.	pl

Fjárhagsleg	fjárhagslegur	lvensf
ábyrgð	ábyrgð	nven
af	af	af
rekstri	rekstur	nkeþ
almannavarna	almannavarnir	nvfe
hvílir	hvíla	sfg3en
á	á	af
sveitarstjórnum	sveitarstjórn	nvfþ
og	og	c
felst	fela	sfm3en
í	í	af
því	það	fpheþ
að	að	cn
tryggja	tryggja	sng
að	að	c
til	til	aa
séu	vera	svg3fn
tæki	tæki	nhfn
og	og	c
búnaður	búnaður	nken
sem	sem	ct
nauðsynleg	nauðsynlegur	lhfnsf
eru	vera	sfg3fn
til	til	af
bjargar	björg	nvee
og	og	c
nægjanlegar	nægjanlegur	lvfnsf
birgðir	birgðir	nvfn
matar	matur	nkee
og	og	c
húsaskjól	húsaskjól	nhen
fyrir	fyrir	af
fólk	fólk	nheo
.	.	pl

Skipulag	skipulag	nhen
almannavarna	almannavarnir	nvfe
á	á	af
Íslandi	Ísland	nheþ-s
er	vera	sfg3en
mjög	mjög	aa
háð	háður	lhensf
sjálfboðaliðum	sjálfboðaliði	nkfþ
eða	eða	c
byggir	byggja	sfg3en
á	á	af
aðstoð	aðstoð	nveþ
þeirra	hann	fpkfe
,	,	pk
eftir	eftir	af
atvikum	atvik	nhfþ
.	.	pl

Einkum	einkum	aa
er	vera	sfg3en
það	það	fphen
Rauði	rauður	lkenvf
krossinn	kross	nkeng
,	,	pk
björgunarsveitir	björgunarsveit	nvfn
og	og	c
slökkvilið	slökkvilið	nhen
,	,	pk
sem	sem	ct
sveitarfélögin	sveitarfélag	nhfng
standa	standa	sfg3fn
að	að	aa
og	og	c
reka	reka	sfg3fn
,	,	pk
og	og	c
Landsbjörg	Landsbjörg	nven-s
,	,	pk
landsamtök	landsamtök	nhfn
björgunarsveita	björgunarsveit	nvfe
á	á	af
Íslandi	Ísland	nheþ-s
,	,	pk
samkvæmt	samkvæmt	af
lögum	lag	nhfþ
nr.	nr.	ks
94/1962	94/1962	ta
um	um	af
almannavarnir	almannavarnir	nvfo
.	.	pl

Samkvæmt	samkvæmt	af
ríkjandi	ríkjandi	lheþof
skipulagi	skipulag	nheþ
í	í	af
samræmi	samræmi	nheþ
við	við	af
áðurnefnd	áðurnefndur	lhfosf
lög	lag	nhfo
er	vera	sfg3en
lögreglustjóri	lögreglustjóri	nken
ábyrgur	ábyrgur	lkensf
fyrir	fyrir	af
stjórn	stjórn	nveþ
og	og	c
nýtingu	nýting	nveþ
þess	sá	fakee
mannafla	mannafli	nkee
sem	sem	ct
sjálfboðaliðar	sjálfboðaliði	nkfn
björgunarsveitanna	björgunarsveit	nvfeg
skipa	skipa	sfg3fn
.	.	pl

Að	að	aa
auki	auki	aa
getur	geta	sfg3en
hann	hann	fpken
hvatt	hvetja	sþghen
til	til	af
starfa	starf	nhfe
hvern	hver	fokeo
fulltíða	fulltíða	lkeoof
mann	maður	nkeo
á	á	af
aldrinum	aldur	nkeþg
18-65	18-65	ta
ára	ár	nhfe
telji	telja	svg3en
hann	hann	fpken
nauðsyn	nauðsyn	nveo
bera	bera	sng
til	til	aa
í	í	af
samræmi	samræmi	nheþ
við	við	af
alvöru	alvara	nveo
máls	mál	nhee
og	og	c
aðstæður	aðstæður	nvfo
hverju	hver	foheþ
sinni	sinn	nheþ
,	,	pk
samkvæmt	samkvæmt	af
áðurnefndri	áðurnefndur	lveþsf
10.	10.	ta
gr.	gr.	ks
laganna	lag	nhfeg
.	.	pl

Ríkislögreglustjóri	Ríkislögreglustjóri	nken-s
er	vera	sfg3en
stjórnandi	stjórnandi	nken
Almannavarna	Almannavarnir	nvfe-s
ríkisins	ríki	nheeg
,	,	pk
með	með	af
aðsetur	aðsetur	nheo
í	í	af
Reykjavík	Reykjavík	nveþ-s
.	.	pl

Lögunum	lag	nhfþg
hefur	hafa	sfg3en
verið	vera	sþghen
breytt	breyta	sþghen
á	á	af
þann	sá	fakeo
veg	vegur	nkeo
að	að	c
Ríkislögreglustjórinn	Ríkislögreglustjóri	nkengs
er	vera	sfg3en
ábyrgur	ábyrgur	lkensf
fyrir	fyrir	af
skipulaginu	skipulag	nheþg
í	í	af
umboði	umboð	nheþ
dómsmálaráðherra	dómsmálaráðherra	nkee
.	.	pl

Almannavarnadeild	Almannavarnadeild	nven-s
ríkislögreglustjóra	ríkislögreglustjóri	nkee
rekur	reka	sfg3en
skrifstofu	skrifstofa	nveo
.	.	pl

Hlutverk	hlutverk	nhen
hennar	hún	fpvee
,	,	pk
á	á	af
ábyrgð	ábyrgð	nveo
ríkislögreglustjóra	ríkislögreglustjóri	nkee
,	,	pk
er	vera	sfg3en
að	að	cn
samræma	samræma	sng
viðbrögð	viðbragð	nhfo
og	og	c
kynna	kynna	sng
hinum	hinn	fakfþ
15	15	ta
lögreglustjórum	lögreglustjóri	nkfþ
landsins	land	nheeg
breytingar	breyting	nvfo
sem	sem	ct
verða	verða	sng
kunna	kunna	x
á	á	af
viðbragðsáætlunum	viðbragðsáætlun	nvfþ
og	og	c
lögum	lag	nhfþ
.	.	pl

Ríkisstjórn	ríkisstjórn	nven
Íslands	Ísland	nhee-s
kemur	koma	sfg3en
einnig	einnig	aa
að	að	af
málum	mál	nhfþ
með	með	af
því	það	fpheþ
að	að	cn
leggja	leggja	sng
til	til	aa
fé	fé	nheo
aukreitis	aukreitis	aa
og	og	c
aðstoð	aðstoð	nveo
Landhelgisgæzlunnar	Landhelgisgæsla	nvee-s
sem	sem	ct
á	eiga	sfg3en
tvö	tveir	tfhfo
varðskip	varðskip	nhfo
og	og	c
eina	einn	tfveo
þyrlu	þyrla	nveo
og	og	c
hefur	hafa	sfg3en
yfir	yfir	af
þremur	þrír	tfvfþ
öðrum	annar	fovfþ
þyrlum	þyrla	nvfþ
að	að	cn
ráða	ráða	sng
.	.	pl

Björgunarsveitir	björgunarsveit	nvfn
á	á	af
Íslandi	Ísland	nheþ-s
eru	vera	sfg3fn
vel	vel	aa
búnar	búinn	lvfnsf
tækjum	tæki	nhfþ
og	og	c
njóta	njóta	sfg3fn
sérstakrar	sérstakur	lveesf
aðstoðar	aðstoð	nvee
frá	frá	af
íslenzka	íslenskur	lheþvf
ríkinu	ríki	nheþg
sem	sem	ct
veitir	veita	sfg3en
afslátt	afsláttur	nkeo
í	í	af
formi	form	nheþ
tolla	tollur	nkfe
af	af	af
stærri	stór	lhfþvm
tækjum	tæki	nhfþ
eins	eins	aa
og	og	c
trukkum	trukkur	nkfþ
,	,	pk
jeppum	jeppi	nkfþ
,	,	pk
snjóbílum	snjóbíll	nkfþ
og	og	c
björgunarbátum	björgunarbátur	nkfþ
.	.	pl

Sveitarfélögin	sveitarfélag	nhfng
bera	bera	sfg3fn
lögum	lag	nhfþ
samkvæmt	samkvæmt	af
ábyrgð	ábyrgð	nveo
á	á	af
aðgerðaráætlunum	aðgerðaráætlun	nvfþ
og	og	c
neyðaráætlunum	neyðaráætlun	nvfþ
í	í	af
nærsamfélaginu	nærsamfélag	nheþg
,	,	pk
en	en	c
það	sá	fahen
ákvæði	ákvæði	nhen
laganna	lag	nhfeg
hefur	hafa	sfg3en
ekki	ekki	aa
orðið	verða	sþghen
að	að	af
veruleika	veruleiki	nkeþ
,	,	pk
því	það	fpheþ
þessar	þessi	favfn
áætlanir	áætlun	nvfn
hafa	hafa	sfg3fn
ekki	ekki	aa
verið	vera	sþghen
gerðar	gera	sþgvfn
.	.	pl

Þó	þó	aa
hafa	hafa	sfg3fn
verið	vera	sþghen
gerðar	gera	sþgvfn
áætlanir	áætlun	nvfn
hjá	hjá	af
fyrirtækjum	fyrirtæki	nhfþ
sem	sem	ct
reka	reka	sfg3fn
álver	álver	nhfo
á	á	af
Íslandi	Ísland	nheþ-s
á	á	af
grundvelli	grundvöllur	nkeþ
gæðastjórnunarstaðla	gæðastjórnunarstaðall	nkfe
sem	sem	ct
þau	það	fphfn
setja	setja	sfg3fn
sér	sig	fphfþ
.	.	pl

Skólar	skóli	nkfn
og	og	c
sjúkrastofnanir	sjúkrastofnun	nvfn
að	að	af
minnsta	lítill	lkeþve
kosti	kostur	nkeþ
í	í	af
Reykjavík	Reykjavík	nveþ-s
hafa	hafa	sfg3fn
unnið	vinna	sþghen
rýmingaráætlanir	rýmingaráætlun	nvfo
á	á	af
grundvelli	grundvöllur	nkeþ
laga	lag	nhfe
um	um	af
brunvarnir	brunavörn	nvfo
.	.	pl

Ákvæði	ákvæði	nheþ
almannavarnarlaga	almannavarnalög	nhfe
um	um	af
neyðaráætlanir	neyðaráætlun	nvfo
hefur	hafa	sfg3en
ekki	ekki	aa
verið	vera	sþghen
hrint	hrinda	sþghen
í	í	af
framkvæmd	framkvæmd	nveo
með	með	af
skipulagðri	skipulagður	lveþsf
eftirfylgni	eftirfylgni	nveþ
.	.	pl

Enginn	enginn	foken
virðist	virða	sfm3en
bera	bera	sng
ábyrgð	ábyrgð	nveo
á	á	af
því	það	fpheþ
að	að	c
sveitarfélögin	sveitarfélag	nhfng
standi	standa	svg3fn
við	við	af
skyldur	skylda	nvfo
sínar	sinn	fevfo
í	í	af
raun	raun	nveþ
.	.	pl

Ríkisstjórnin	ríkisstjórn	nveng
hefur	hafa	sfg3en
ekki	ekki	aa
gengið	ganga	sþghen
eftir	eftir	af
því	það	fpheþ
að	að	c
þessari	þessi	faveþ
skyldu	skylda	nveþ
sveitarstjórna	sveitarstjórn	nvfe
sé	vera	svg3en
framfylgt	framfylgja	sþghen
.	.	pl

2.1.2.	2.1.2.	ta

Skipulag	skipulag	nhen
og	og	c
skipurit	skipurit	nhen
almannavarna	almannavarnir	nvfe
á	á	af
Íslandi	Ísland	nheþ-s
Í	í	af
stuttu	stuttur	lheþsf
máli	mál	nheþ
má	mega	sfg3en
segja	segja	sng
að	að	c
skipulagið	skipulag	nheng
byggist	byggja	svm3en
á	á	af
því	það	fpheþ
að	að	c
lögreglustjórar	lögreglustjóri	nkfn
fari	fara	svg3fn
með	með	af
framkvæmdavald	framkvæmdavald	nheo
í	í	af
umdæmunum	umdæmi	nhfþg
15	15	ta
og	og	c
stjórni	stjórna	svg3fn
sjálfboðaliðum	sjálfboðaliði	nkfþ
í	í	af
björgunarsveitum	björgunarsveit	nvfþ
þegar	þegar	c
unnið	vinna	sþghen
að	að	x
er	vera	sfg3en
að	að	af
almannavörnum	almannavarnir	nvfþ
.	.	pl

Björgunarsveitirnar	björgunarsveit	nvfng
þjálfa	þjálfa	sfg3fn
sjálfar	sjálfur	fbvfn
sína	sinn	fekfo
liðsmenn	liðsmaður	nkfo
og	og	c
byggja	byggja	sfg3fn
á	á	af
eigin	eigin	lheþof
skipulagi	skipulag	nheþ
varðandi	varða	slg
stjórnun	stjórnun	nveo
og	og	c
boðleiðir	boðleið	nvfo
,	,	pk
en	en	c
lúta	lúta	sfg3fn
stjórn	stjórn	nveþ
lögreglustjóra	lögreglustjóri	nkee
þegar	þegar	c
almannavarnaástand	almannavarnaástand	nhen
ríkir	ríkja	sfg3en
.	.	pl

Sama	samur	fbhen
gildir	gilda	sfg3en
meðan	meðan	c
annars	annar	fokee
konar	konar	nkee
neyðarástand	neyðarástand	nhen
varir	vara	sfg3en
.	.	pl

Stjórnvöld	stjórnvald	nhfn
bjóða	bjóða	sfg3fn
liðsmönnum	liðsmaður	nkfþ
björgunarsveita	björgunarsveit	nvfe
litla	lítill	lveosf
formlega	formlegur	lveosf
menntun	menntun	nveo
.	.	pl

Það	það	fphen
er	vera	sfg3en
gert	gera	sþghen
í	í	af
Danmörku	Danmörk	nveþ-s
,	,	pk
þar	þar	aa
sem	sem	c
Viðbúnaðarliðið	Viðbúnaðarlið	nhengs
(	(	pa
d	d	x
:	:	pa
Beredskabet	Beredskabet	n----s
)	)	pa
ber	bera	sfg3en
á	á	x
formlega	formlegur	lveosf
ábyrgð	ábyrgð	nveo
á	á	af
menntun	menntun	nveþ
og	og	c
fræðslu	fræðsla	nveþ
viðbúnaðarliða	viðbúnaðarlið	nhfe
(	(	pa
hjálparliða	hjálparlið	nhfe
)	)	pa
sem	sem	ct
koma	koma	sfg3fn
að	að	af
viðbrögðum	viðbragð	nhfþ
við	við	af
neyðarástandi	neyðarástand	nheþ
samkvæmt	samkvæmt	af
48.	48.	ta
grein	grein	nveþ
Viðbúnaðarlaga	Viðbúnaðarlög	nhfe-s
.	.	pl

Almannavarnanefndir	almannavarnanefnd	nvfn
hafa	hafa	sfg3fn
starfað	starfa	sþghen
í	í	af
flestum	margur	lhfþse
sveitarfélögum	sveitarfélag	nhfþ
,	,	pk
en	en	c
reynt	reyna	sþghen
hefur	hafa	sfg3en
verið	vera	sþghen
að	að	cn
fækka	fækka	sng
þeim	hún	fpvfþ
svo	svo	aa
aðeins	aðeins	aa
ein	einn	tfven
verði	verða	svg3en
starfandi	starfa	slg
í	í	af
umdæmi	umdæmi	nheþ
hvers	hver	fokee
lögreglustjóra	lögreglustjóri	nkee
.	.	pl

Þeir	hann	fpkfn
voru	vera	sfg3fþ
26	26	ta
á	á	af
Íslandi	Ísland	nheþ-s
,	,	pk
en	en	c
var	vera	sfg3eþ
fækkað	fækka	sþghen
í	í	af
15	15	ta
hinn	hinn	gkeo
1.	1.	ta
janúar	janúar	nkeo
2007	2007	ta
með	með	af
breytingu	breyting	nveþ
á	á	af
lögreglulögum	lögreglulög	nhfþ
nr.	nr.	ks
1996	1996	ta
.	.	pl

Stefnt	stefna	sþghen
er	vera	sfg3en
að	að	af
því	það	fpheþ
almannavarnanefndir	almannavarnanefnd	nvfn
verði	verða	svg3fn
ekki	ekki	aa
fleiri	margur	lvfnvm
en	en	c
15	15	ta
á	á	af
landinu	land	nheþg
öllu	allur	foheþ
.	.	pl

Hlutverk	hlutverk	nhen
almannavarnanefnda	almannavarnanefnd	nvfe
er	vera	sfg3en
skilgreint	skilgreina	sþghen
í	í	af
8.	8.	ta
gr.	gr.	ks
laganna	lag	nhfeg
.	.	pl

Almannavarnanefndir	almannavarnanefnd	nvfn
skulu	skulu	sfg3fn
starfa	starfa	sng
í	í	af
öllum	allur	fohfþ
sveitarfélögum	sveitarfélag	nhfþ
.	.	pl

Sveitarstjórnum	sveitarstjórn	nvfþ
,	,	pk
sem	sem	ct
skipa	skipa	sfg3fn
almannavarnanefndir	almannavarnanefnd	nvfo
,	,	pk
er	vera	sfg3en
heimilt	heimill	lhensf
að	að	cn
semja	semja	sng
sín	sig	fpvfe
í	í	aa
milli	milli	af
um	um	af
að	að	cn
skipa	skipa	sng
í	í	af
sameiginlegar	sameiginlegur	lvfosf
almannavarnanefndir	almannavarnanefnd	nvfo
fleiri	margur	lhfevm
en	en	c
eins	einn	tfhee
sveitarfélags	sveitarfélag	nhee
.	.	pl

Þó	þó	aa
er	vera	sfg3en
sá	sá	faken
fyrirvari	fyrirvari	nken
gerður	gera	sþgken
að	að	c
sé	vera	svg3en
sameinað	sameina	sþghen
yfir	yfir	af
mörk	mark	nhfo
lögsagnarumdæma	lögsagnarumdæmi	nhfe
skal	skulu	sfg3en
dómsmálaráðherra	dómsmálaráðherra	nken
staðfesta	staðfesta	sng
sameiningu	sameining	nveo
og	og	c
ákveða	ákveða	sng
hvaða	hvaða	fsken
lögreglustjóri	lögreglustjóri	nken
starfi	starfa	svg3en
með	með	af
nefndinni	nefnd	nveþg
.	.	pl

Lögreglustjóri	lögreglustjóri	nken
skal	skulu	sfg3en
starfa	starfa	sng
með	með	af
almannavarnanefnd	almannavarnanefnd	nveþ
í	í	af
umdæmi	umdæmi	nheþ
sínu	sinn	feheþ
samkvæmt	samkvæmt	af
7.	7.	ta
gr.	gr.	ks
almannavarnalaga	almannavarnalög	nhfe
.	.	pl

Að	að	af
öðru	annar	foheþ
leyti	leyti	nheþ
er	vera	sfg3en
gert	gera	sþghen
ráð	ráð	nhen
fyrir	fyrir	af
að	að	c
til	til	af
setu	seta	nvee
í	í	af
nefndinni	nefnd	nveþg
veljist	velja	svm3fn
lykilmenn	lykilmaður	nkfn
sem	sem	ct
